date,lat,lon,intensity
1932/08/24,37.547,-118.340,3.88
1932/09/05,36.474,-120.766,3.07
1932/09/29,37.500,-118.500,3.30
1932/10/19,36.165,-121.681,4.71
1932/10/25,36.917,-121.967,4.60
1932/10/25,37.678,-118.290,4.30
1932/12/31,37.477,-118.114,3.50
1933/01/02,37.569,-117.741,4.59
1933/01/04,38.250,-118.750,4.30
1933/01/05,38.243,-118.633,4.27
1933/01/05,38.305,-118.631,4.22
1933/01/05,38.390,-118.687,4.13
1933/02/03,37.782,-118.491,3.94
1933/02/03,37.717,-118.400,5.14
1933/04/05,37.592,-117.421,3.64
1933/04/25,37.908,-118.487,3.55
1933/05/03,38.072,-118.405,3.66
1933/05/05,36.500,-121.000,3.89
1933/05/16,34.207,-122.999,4.47
1933/05/18,32.018,-120.141,4.37
1933/06/22,37.707,-118.400,4.58
1933/06/22,37.562,-118.832,4.21
1933/06/22,37.721,-118.436,3.19
1933/07/25,32.677,-114.844,3.33
1933/08/20,36.025,-120.578,3.64
1933/08/20,36.000,-120.600,3.21
1933/08/22,37.325,-118.204,3.08
1933/09/18,38.006,-118.510,3.13
1933/10/04,38.079,-118.748,3.70
1933/11/08,38.243,-118.479,4.09
1933/11/11,35.919,-120.904,3.18
1933/11/14,38.000,-118.500,3.42
1934/04/21,30.887,-115.783,3.71
1934/05/06,35.871,-120.683,3.51
1934/06/05,35.893,-120.706,3.27
1934/06/05,35.881,-120.704,3.14
1934/06/05,35.818,-120.524,4.81
1934/06/05,35.922,-120.730,4.27
1934/06/06,35.900,-120.700,3.00
1934/06/06,35.912,-120.883,3.79
1934/06/06,35.883,-120.717,3.71
1934/06/08,35.870,-120.694,5.09
1934/06/08,35.846,-120.666,5.84
1934/06/08,36.011,-120.705,3.44
1934/06/08,35.736,-120.319,4.23
1934/06/08,35.849,-120.573,3.93
1934/06/08,35.902,-120.656,3.86
1934/06/08,35.823,-120.421,3.93
1934/06/10,35.928,-120.626,3.17
1934/06/10,35.813,-120.567,4.49
1934/06/12,35.745,-120.462,3.37
1934/06/14,35.826,-120.442,3.89
1934/06/14,35.797,-120.521,4.12
1934/06/14,35.770,-120.506,4.20
1934/06/14,35.705,-120.501,3.61
1934/06/16,36.322,-121.010,3.84
1934/06/21,31.000,-115.000,3.49
1934/07/02,38.277,-118.582,3.18
1934/07/02,35.883,-120.561,3.28
1934/08/04,36.028,-120.937,3.39
1934/08/21,35.948,-120.338,3.14
1934/08/26,35.617,-121.017,3.31
1934/09/06,36.110,-120.977,3.27
1934/09/10,38.013,-118.484,3.18
1934/09/13,38.237,-118.547,3.66
1934/09/16,35.931,-120.810,3.13
1934/12/02,36.538,-121.728,4.06
1934/12/03,35.943,-121.316,4.53
1934/12/24,35.881,-120.714,4.77
1934/12/29,37.336,-118.225,3.51
1935/01/01,31.000,-114.000,3.93
1935/01/01,31.015,-114.935,3.78
1935/01/06,35.933,-120.658,4.18
1935/01/06,35.883,-120.508,3.66
1935/01/07,36.225,-120.942,3.31
1935/01/15,30.741,-116.747,3.75
1935/02/18,35.898,-120.561,3.48
1935/03/06,37.520,-120.136,3.71
1935/03/11,30.626,-116.960,3.64
1935/03/25,37.221,-118.042,3.29
1935/04/05,35.884,-120.709,3.67
1935/04/05,30.387,-116.492,3.57
1935/04/18,38.001,-118.534,3.86
1935/05/08,37.402,-116.633,3.84
1935/05/16,37.639,-118.387,4.43
1935/05/16,37.583,-118.264,3.26
1935/05/27,35.640,-121.152,3.24
1935/06/19,37.412,-118.299,4.33
1935/06/19,37.394,-118.344,3.50
1935/06/19,37.408,-118.308,3.13
1935/07/25,35.788,-120.587,3.31
1935/07/26,37.478,-117.803,3.11
1935/07/27,37.167,-118.333,3.25
1935/07/28,35.639,-121.443,4.08
1935/08/01,37.467,-118.500,3.38
1935/08/01,37.467,-117.800,3.14
1935/08/09,36.206,-121.153,3.80
1935/10/18,35.816,-120.673,3.60
1935/10/22,35.870,-120.575,3.62
1935/11/02,35.991,-120.989,3.20
1935/11/26,37.679,-118.313,3.71
1936/03/06,36.201,-121.243,3.21
1936/03/17,36.331,-121.292,4.00
1936/05/10,37.611,-118.416,4.78
1936/05/15,37.623,-118.391,3.92
1936/05/20,35.883,-120.559,3.06
1936/05/23,36.276,-121.173,3.98
1936/10/02,37.468,-118.388,3.02
1936/10/06,37.250,-118.250,3.31
1936/10/06,37.250,-118.250,3.67
1936/10/07,37.250,-118.250,3.52
1936/10/10,37.488,-118.331,4.06
1936/10/10,37.446,-118.353,3.49
1936/10/10,37.500,-118.300,3.10
1936/10/21,37.480,-118.165,3.31
1936/11/07,37.862,-118.765,3.87
1936/12/23,35.906,-120.490,3.56
1937/02/12,37.512,-118.213,3.90
1937/02/20,35.994,-120.754,3.95
1937/03/09,37.926,-118.624,4.02
1937/05/28,37.910,-118.299,3.55
1937/05/29,35.981,-121.275,3.33
1937/05/31,36.328,-121.179,3.09
1937/06/27,37.556,-118.391,3.78
1937/06/30,37.551,-118.369,3.59
1937/06/30,37.536,-118.189,3.12
1937/08/16,37.404,-117.988,3.61
1937/08/19,38.000,-118.586,4.60
1937/08/19,38.033,-118.367,3.27
1937/08/23,38.137,-118.627,3.86
1937/09/16,35.910,-120.854,3.44
1937/09/25,37.720,-118.464,3.26
1937/12/04,35.500,-113.000,3.63
1937/12/08,30.859,-117.011,3.77
1937/12/25,36.168,-120.296,3.14
1938/02/21,35.925,-120.808,3.26
1938/05/04,36.402,-120.845,3.48
1938/05/15,37.560,-118.457,3.46
1938/05/27,36.292,-120.965,3.65
1938/09/27,36.357,-121.212,4.90
1938/10/17,35.909,-120.744,3.47
1938/10/28,35.730,-120.452,3.25
1938/11/16,35.925,-120.687,3.14
1938/11/22,35.758,-120.497,4.29
1938/11/25,37.769,-118.510,3.35
1938/12/03,37.670,-118.613,5.45
1938/12/03,37.640,-118.451,3.61
1938/12/03,37.645,-118.266,4.03
1938/12/03,37.539,-118.666,4.67
1938/12/03,37.546,-118.369,3.84
1938/12/03,37.686,-118.152,4.11
1938/12/04,37.821,-118.477,3.87
1938/12/16,37.888,-118.297,3.89
1939/04/03,37.653,-118.410,3.71
1939/05/01,31.100,-117.750,3.28
1939/05/02,35.896,-120.745,4.18
1939/05/14,37.656,-118.444,3.26
1939/05/17,37.559,-118.335,3.78
1939/05/18,35.964,-120.685,3.05
1939/05/21,37.564,-118.416,3.61
1939/09/07,35.381,-121.155,3.19
1939/09/29,30.780,-115.593,4.01
1939/10/19,37.698,-118.418,3.48
1939/11/06,30.597,-116.284,4.16
1939/12/14,36.209,-120.384,3.10
1939/12/28,35.953,-120.973,5.17
1939/12/30,35.918,-120.591,3.73
1940/02/24,37.599,-118.631,4.28
1940/02/24,37.633,-118.600,3.54
1940/03/25,36.795,-117.119,3.61
1940/04/08,37.613,-118.301,3.94
1940/05/08,37.860,-118.670,4.31
1940/05/21,35.258,-121.176,4.08
1940/05/26,31.000,-115.000,4.47
1940/06/04,33.096,-114.700,3.47
1940/06/26,36.328,-120.156,3.47
1940/06/27,31.000,-115.000,3.96
1940/07/08,37.593,-118.885,4.49
1940/07/21,37.770,-118.388,3.27
1940/07/21,38.017,-117.946,3.35
1940/07/22,37.611,-118.787,4.60
1940/07/23,37.826,-118.420,3.57
1940/08/13,36.289,-120.574,4.02
1940/11/01,37.579,-118.406,3.14
1940/12/07,31.069,-114.853,6.05
1940/12/09,30.968,-115.535,4.32
1940/12/09,31.439,-115.400,4.08
1940/12/11,30.996,-115.669,3.79
1940/12/12,31.250,-115.000,3.89
1940/12/13,31.250,-115.000,3.90
1940/12/14,31.079,-115.268,3.89
1940/12/18,30.663,-116.091,4.07
1941/01/09,31.159,-115.057,5.23
1941/01/12,31.000,-117.000,3.86
1941/02/23,31.000,-115.000,4.00
1941/03/27,37.552,-119.843,3.75
1941/05/08,37.606,-118.300,3.76
1941/06/25,31.000,-115.000,4.42
1941/07/03,37.661,-118.496,3.16
1941/07/09,31.250,-115.000,3.69
1941/07/18,31.000,-115.500,4.09
1941/08/27,37.608,-118.190,3.45
1941/09/14,37.549,-118.616,5.63
1941/09/14,37.542,-118.576,4.49
1941/09/14,38.557,-118.392,5.89
1941/09/14,38.679,-118.341,6.12
1941/09/14,37.500,-118.500,4.01
1941/09/14,37.500,-118.500,4.51
1941/09/22,37.730,-118.456,3.99
1941/09/27,37.694,-118.498,3.87
1941/09/28,37.500,-118.500,3.27
1941/10/07,37.673,-118.446,3.35
1941/10/08,37.670,-118.502,3.07
1941/10/09,37.683,-118.416,3.06
